username,email,datetime,mood,score
Rainbow,rainbow@gmail.com,2025-05-05 16:33:39.204584,Stress,-0.8
Rainbow,rainbow@gmail.com,2025-05-06 16:33:42.744500,Stress,-0.8
Rainbow,rainbow@gmail.com,2025-05-07 16:33:45.615416,Stress,-0.8
Rainbow,rainbow@gmail.com,2025-05-08 16:33:49.142887,Stress,-0.8
Rainbow,rainbow@gmail.com,2025-05-09 16:33:52.112021,Stress,-0.8
Rainbow,rainbow@gmail.com,2025-05-10 16:33:58.287294,Disappointment,-0.6
Rainbow,rainbow@gmail.com,2025-05-11 16:34:01.463984,Disappointment,-0.6
Rainbow,rainbow@gmail.com,2025-05-12 16:34:04.301597,Disappointment,-0.6
Rainbow,rainbow@gmail.com,2025-05-13 16:34:06.943593,Disappointment,-0.6
Rainbow,rainbow@gmail.com,2025-05-14 16:34:15.848941,Disgust,-0.7
Rainbow,rainbow@gmail.com,2025-05-15 16:34:19.207329,Disgust,-0.7
Rainbow,rainbow@gmail.com,2025-05-16 16:34:26.559282,Worry,-0.7
Rainbow,rainbow@gmail.com,2025-05-17 16:34:29.966551,Worry,-0.7
Rainbow,rainbow@gmail.com,2025-05-18 16:34:33.454906,Worry,-0.7
Rainbow,rainbow@gmail.com,2025-05-19 16:34:46.968965,Shame,-0.8
Rainbow,rainbow@gmail.com,2025-05-20 16:34:49.774918,Shame,-0.8
Rainbow,rainbow@gmail.com,2025-05-21 16:34:52.506977,Shame,-0.8
Rainbow,rainbow@gmail.com,2025-05-22 16:34:55.515327,Shame,-0.8
Rainbow,rainbow@gmail.com,2025-05-23 16:35:05.750811,Guilt,-0.7
Rainbow,rainbow@gmail.com,2025-05-24 16:35:08.923806,Guilt,-0.7
Rainbow,rainbow@gmail.com,2025-05-25 16:35:13.098175,Guilt,-0.7
Rainbow,rainbow@gmail.com,2025-05-26 16:35:21.579653,Relief,0.6
Rainbow,rainbow@gmail.com,2025-05-27 16:35:29.507977,Gratitude,0.8
Rainbow,rainbow@gmail.com,2025-05-28 16:35:40.460336,Interest,0.5
Rainbow,rainbow@gmail.com,2025-05-29 16:35:48.350448,Amusement,0.7
Rainbow,rainbow@gmail.com,2025-05-30 16:35:56.407519,Excitement,0.7
Rainbow,rainbow@gmail.com,2025-05-31 16:36:05.603994,Enthusiasm,0.7
Rainbow,rainbow@gmail.com,2025-06-01 16:36:11.481575,Enthusiasm,0.7
Rainbow,rainbow@gmail.com,2025-06-02 16:36:18.270115,Joy,0.9
Rainbow,rainbow@gmail.com,2025-06-03 16:36:21.117866,Joy,0.9
Rainbow,rainbow@gmail.com,2025-06-04 16:36:24.595409,Joy,0.9
Rainbow,rainbow@gmail.com,2025-06-12 19:08:58.106568,Joy,0.9
Patient2,p2@gmail.com,2025-06-12 19:10:09.183194,Joy,0.9
